elo_a,elo_b,elo_diff,elo_win_prob_a,elo_draw_prob,attack_diff,defense_diff,form_diff,wc_exp_diff,lambda_a,lambda_b,lambda_diff,same_conf,attack_interaction,defense_interaction,style_diff,squad_score_diff,squad_rating_diff,ucl_players_diff,star_player_diff,coach_rating_diff,age_factor_diff,climate_adv_diff,alt_penalty,heat_penalty,days_rest_diff,travel_km_diff,jetlag_diff,fatigue_diff,weighted_form_diff,form_dominance,label,year,team_a,team_b,goals_a,goals_b
1906.5,1470.4,436.0999999999999,0.8003,0.1346,0.78,-0.30000000000000004,0.0035999999999999366,20.0,1.9580000000000002,0.8,1.1580000000000001,0,1.78,0.8800000000000001,1.08,21.7,10,8,1,0.7,0.0,-0.12,0.08,0.02,-8782,476.6,-3.0,501.6502,0.0036,0.0036,2,2002,Brazil,China,4,0
1584.9,1785.5,-200.5999999999999,0.1886,0.2131,-0.30000000000000004,0.10000000000000009,-0.1399999999999999,-1.0,1.0,1.4300000000000002,-0.43000000000000016,0,1.3,1.1,-0.40000000000000013,-4.8,-4,-2,0,-0.2,0.0,0.0,0.08,0.02,8781,-476.6,-3.0,-501.7181,-0.14,0.14,1,2002,Costa Rica,Turkey,1,1
1584.9,1906.5,-321.5999999999999,0.1123,0.1728,-0.78,0.30000000000000004,-0.0035999999999999366,-20.0,0.8,1.9580000000000002,-1.1580000000000001,0,1.78,0.8800000000000001,-1.08,-21.7,-10,-8,-1,-0.7,0.0,0.12,0.08,0.02,8777,-476.6,3.0,-501.3645,-0.0036,0.0036,0,2002,Costa Rica,Brazil,2,5
1785.5,1470.4,315.0999999999999,0.7094,0.175,0.30000000000000004,-0.10000000000000009,0.1399999999999999,1.0,1.4300000000000002,1.0,0.43000000000000016,0,1.3,1.1,0.40000000000000013,4.8,4,2,0,0.2,0.0,0.0,0.08,0.02,-8777,476.6,3.0,501.4895,0.14,0.14,2,2002,Turkey,China,3,0
1683.8,1568.1,115.70000000000005,0.5011,0.2414,0.19999999999999996,-0.06000000000000005,-0.2548,9.0,1.32,1.04,0.28,0,1.2,1.1440000000000001,0.26,-5.4,-1,0,-1,0.0,0.05,0.0,0.03,0.06,-8784,717.9,7.0,501.9385,-0.2548,0.2548,2,2002,South Korea,Poland,2,0
1744.9,1828.4,-83.5,0.2857,0.2522,-0.3699999999999999,0.22000000000000008,-0.06279999999999997,3.0,1.1508,1.8444,-0.6936,0,2.3838000000000004,0.8904,-0.59,-14.2,-6,-4,-1,-0.8,-0.05,-0.135,0.03,0.06,-8784,717.9,-7.0,501.7093,-0.0628,0.0628,2,2002,USA,Portugal,3,2
1683.8,1744.9,-61.100000000000136,0.3057,0.2596,-0.17000000000000015,-0.020000000000000018,-0.09720000000000001,0.0,1.272,1.4248,-0.15280000000000005,0,1.6440000000000001,1.1024,-0.15000000000000013,-1.9,-1,-1,0,0.0,0.05,0.135,0.03,0.06,1,0.0,14.0,0.172,-0.0972,0.0972,1,2002,South Korea,USA,1,1
1828.4,1568.1,260.3000000000002,0.6594,0.1932,0.74,-0.2600000000000001,-0.09480000000000005,6.0,1.9140000000000001,0.84,1.0740000000000003,0,1.74,0.924,1.0,10.7,6,5,0,0.8,0.05,0.0,0.03,0.06,-8783,0.0,0.0,501.7143,-0.0948,0.0948,2,2002,Portugal,Poland,4,0
1828.4,1683.8,144.60000000000014,0.5353,0.2318,0.54,-0.20000000000000007,0.15999999999999998,-3.0,1.8096,1.008,0.8016000000000001,0,2.088,0.8736,0.7400000000000001,16.1,7,5,1,0.8,0.0,0.0,0.03,0.06,-5,-717.9,-7.0,0.1186,0.16,0.16,0,2002,Portugal,South Korea,0,1
1568.1,1744.9,-176.80000000000018,0.2068,0.2211,-0.3700000000000001,0.040000000000000036,0.15760000000000002,-9.0,1.06,1.5070000000000003,-0.4470000000000003,0,1.37,1.1660000000000001,-0.41000000000000014,3.5,0,-1,1,0.0,0.0,0.135,0.03,0.06,8775,-717.9,7.0,-501.195,0.1576,0.1576,2,2002,Poland,USA,3,1
